LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
F24 - BDC - NGARA EB - Spirits - 7.5T,NBO,Nairobi,NGARA EB,7.5T,,14342.83
F24 - BDC - NGARA EB - Spirits - P/Up,NBO,Nairobi,NGARA EB,P/UP,,12403.03
F24 - BDC - NGONG - Spirits - 14T,NBO,Nairobi,NGONG,14T,,17584.0
F24 - BDC - NGONG - Spirits - 30T,NBO,Nairobi,NGONG,30T,,21837.15
F24 - BDC - NGONG - Spirits - 7.5T,NBO,Nairobi,NGONG,7.5T,,15741.31
F24 - BDC - NGONG - Spirits - P/Up,NBO,Nairobi,NGONG,P/UP,,12403.03
F24 - BDC - NRB CITY CENT EB - Spirits - 14T,NBO,Nairobi,NRB CITY CENT EB,14T,,11346.46
F24 - BDC - NRB CITY CENT EB - Spirits - 30T,NBO,Nairobi,NRB CITY CENT EB,30T,,16698.21
F24 - BDC - NRB CITY CENT EB - Spirits - 7.5T,NBO,Nairobi,NRB CITY CENT EB,7.5T,,10186.3
F24 - BDC - NRB CITY CENT EB - Spirits - P/Up,NBO,Nairobi,NRB CITY CENT EB,P/UP,,12403.03
F24 - BDC - NRB INDUST AREA - Spirits - 14T,NBO,Nairobi,NRB INDUST AREA,14T,,11346.46
F24 - BDC - NRB INDUST AREA - Spirits - 30T,NBO,Nairobi,NRB INDUST AREA,30T,,16698.21
F24 - BDC - NRB INDUST AREA - Spirits - 7.5T,NBO,Nairobi,NRB INDUST AREA,7.5T,,16052.67
F24 - BDC - NRB INDUST AREA - Spirits - P/Up,NBO,Nairobi,NRB INDUST AREA,P/UP,,12403.03
F24 - BDC - NRB SHRI MOYO EB - Spirits - 14T,NBO,Nairobi,NRB SHRI MOYO EB,14T,,11346.46
F24 - BDC - NRB SHRI MOYO EB - Spirits - 30T,NBO,Nairobi,NRB SHRI MOYO EB,30T,,16698.21
F24 - BDC - NRB SHRI MOYO EB - Spirits - 7.5T,NBO,Nairobi,NRB SHRI MOYO EB,7.5T,,16052.67
F24 - BDC - NRB SHRI MOYO EB - Spirits - P/Up,NBO,Nairobi,NRB SHRI MOYO EB,P/UP,,12403.03
F24 -BDC -ATHI RIVER - Beer - 14T,NBO,Nairobi,ATHI RIVER,14T,,12771.07
F24 -BDC -ATHI RIVER - Beer - 30T,NBO,Nairobi,ATHI RIVER,30T,,19017.68
F24 -BDC -ATHI RIVER - Beer - 7.5T,NBO,Nairobi,ATHI RIVER,7.5T,,23434.54
F24 -BDC -ATHI RIVER - Beer - P/up,NBO,Nairobi,ATHI RIVER,P/UP,,12403.03
F24 -BDC -BURUBURU - Beer - 14T,NBO,Nairobi,BURUBURU,14T,,11421.35
F24 -BDC -BURUBURU - Beer - 30T,NBO,Nairobi,BURUBURU,30T,,18700.84
F24 -BDC -BURUBURU - Beer - 7.5T,NBO,Nairobi,BURUBURU,7.5T,,16772.67
F24 -BDC -BURUBURU - Beer - P/up,NBO,Nairobi,BURUBURU,P/UP,,12403.03
F24 -BDC -DAGORETTI CORNER - Beer - 14T,NBO,Nairobi,DAGORETTI CORNER,14T,,11421.35
F24 -BDC -DAGORETTI CORNER - Beer - 30T,NBO,Nairobi,DAGORETTI CORNER,30T,,19022.91
F24 -BDC -DAGORETTI CORNER - Beer - 7.5T,NBO,Nairobi,DAGORETTI CORNER,7.5T,,16772.67
F24 -BDC -DAGORETTI CORNER - Beer - P/up,NBO,Nairobi,DAGORETTI CORNER,P/UP,,12403.03
F24- BDC- EAML- Transfer- 30T,NBO,Nairobi,BDC-EAML,30T,,20477.04
F24 -BDC -GIKOMBA - Beer - 14T,NBO,Nairobi,GIKOMBA,14T,,15851.56
F24 -BDC -GIKOMBA - Beer - 30T,NBO,Nairobi,GIKOMBA,30T,,16841.19
F24 -BDC -GIKOMBA - Beer - 7.5T,NBO,Nairobi,GIKOMBA,7.5T,,9235.62
F24 -BDC -GIKOMBA - Beer - P/up,NBO,Nairobi,GIKOMBA,P/UP,,12403.03
F24 -BDC -HURUMA - Beer - 14T,NBO,Nairobi,HURUMA,14T,,11421.35
F24 -BDC -HURUMA - Beer - 30T,NBO,Nairobi,HURUMA,30T,,16750.97
F24 -BDC -HURUMA - Beer - 7.5T,NBO,Nairobi,HURUMA,7.5T,,16772.67
F24 -BDC -HURUMA - Beer - P/up,NBO,Nairobi,HURUMA,P/UP,,12403.03
F24 -BDC -KAREN THT - Beer - 14T,NBO,Nairobi,KAREN THT,14T,,11421.35
F24 -BDC -KAREN THT - Beer - 30T,NBO,Nairobi,KAREN THT,30T,,16841.19
F24 -BDC -KAREN THT - Beer - 7.5T,NBO,Nairobi,KAREN THT,7.5T,,16772.67
F24 -BDC -KAREN THT - Beer - P/up,NBO,Nairobi,KAREN THT,P/UP,,12403.03
F24 -BDC -KAYOLE - Beer - 14T,NBO,Nairobi,KAYOLE,14T,,10840.93
F24 -BDC -KAYOLE - Beer - 30T,NBO,Nairobi,KAYOLE,30T,,16841.19
F24 -BDC -KAYOLE - Beer - 7.5T,NBO,Nairobi,KAYOLE,7.5T,,16772.67
F24 -BDC -KAYOLE - Beer - P/up,NBO,Nairobi,KAYOLE,P/UP,,12403.03
F24 -BDC -LIMURU - Beer - 14T,NBO,Nairobi,LIMURU,14T,,15704.85
F24 -BDC -LIMURU - Beer - 30T,NBO,Nairobi,LIMURU,30T,,19954.78
F24 -BDC -LIMURU - Beer - 7.5T,NBO,Nairobi,LIMURU,7.5T,,12008.15
F24 -BDC -LIMURU - Beer - P/up,NBO,Nairobi,LIMURU,P/UP,,12403.03
F24 -BDC -NAIROBI - Beer - 14T,NBO,Nairobi,NAIROBI,14T,,12765.64
F24 -BDC -NAIROBI - Beer - 30T,NBO,Nairobi,NAIROBI,30T,,16841.19
F24 -BDC -NAIROBI - Beer - 7.5T,NBO,Nairobi,NAIROBI,7.5T,,10158.83
F24 -BDC -NAIROBI - Beer - P/up,NBO,Nairobi,NAIROBI,P/UP,,12403.03
F24 -BDC -NAIROBI THT - Beer - 14T,NBO,Nairobi,NAIROBI THT,14T,,11421.35
F24 -BDC -NAIROBI THT - Beer - 30T,NBO,Nairobi,NAIROBI THT,30T,,16841.19
F24 -BDC -NAIROBI THT - Beer - 7.5T,NBO,Nairobi,NAIROBI THT,7.5T,,16772.67
F24 -BDC -NAIROBI THT - Beer - P/up,NBO,Nairobi,NAIROBI THT,P/UP,,10860.94
F24 -BDC -NGONG - Beer - 14T,NBO,Nairobi,NGONG,14T,,17584.0
F24 -BDC -NGONG - Beer - 30T,NBO,Nairobi,NGONG,30T,,21980.13
F24 -BDC -NGONG - Beer - 7.5T,NBO,Nairobi,NGONG,7.5T,,15741.31
F24 -BDC -NGONG - Beer - P/up,NBO,Nairobi,NGONG,P/UP,,12403.03
F24 -BDC -NRB INDUST AREA - Beer - 14T,NBO,Nairobi,NRB INDUST AREA,14T,,11421.35
F24 -BDC -NRB INDUST AREA - Beer - 30T,NBO,Nairobi,NRB INDUST AREA,30T,,16841.19
F24 -BDC -NRB INDUST AREA - Beer - 7.5T,NBO,Nairobi,NRB INDUST AREA,7.5T,,16772.67
F24 -BDC -NRB INDUST AREA - Beer - P/up,NBO,Nairobi,NRB INDUST AREA,P/UP,,12403.03
F24 -BDC -RONGAI - Beer - 14T,NBO,Nairobi,RONGAI,14T,,12433.64
F24 -BDC -RONGAI - Beer - 30T,NBO,Nairobi,RONGAI,30T,,18473.56
F24 -BDC -RONGAI - Beer - 7.5T,NBO,Nairobi,RONGAI,7.5T,,16924.56
F24 -BDC -RONGAI - Beer - P/up,NBO,Nairobi,RONGAI,P/UP,,12403.03
F24 -BDC -RUAKA - Beer - 14T,NBO,Nairobi,RUAKA,14T,,11421.35
F24 -BDC -RUAKA - Beer - 30T,NBO,Nairobi,RUAKA,30T,,16841.19
F24 -BDC -RUAKA - Beer - 7.5T,NBO,Nairobi,RUAKA,7.5T,,16772.67
F24 -BDC -RUAKA - Beer - P/up,NBO,Nairobi,RUAKA,P/UP,,12403.03
F24- NBO- BDC - Transfer- 30T,NBO,Nairobi,NBO-DDC,30T,,23757.22
F24- NBO- EAML- Transfer- 30T,NBO,Nairobi,NBO-EAML,30T,,23757.22
KBL NBO F20 - ATHIRIVER 14T BEER,NBO,Nairobi,ATHIRIVER,14T,,19741.36
KBL NBO F20 - ATHIRIVER 14T SPIRIT,NBO,Nairobi,ATHIRIVER,14T,,19741.36
KBL NBO F20 - ATHIRIVER 30T BEER,NBO,Nairobi,ATHIRIVER,30T,,24637.12
KBL NBO F20 - ATHIRIVER 30T SPIRIT,NBO,Nairobi,ATHIRIVER,30T,,22630.12
KBL NBO F20 - ATHIRIVER 7.5T BEER,NBO,Nairobi,ATHIRIVER,7.5T,,12864.13
KBL NBO F20 - ATHIRIVER 7.5T SPIRIT,NBO,Nairobi,ATHIRIVER,7.5T,,24271.98
KBL NBO F20 - ATHIRIVER P/up Beer,NBO,Nairobi,ATHIRIVER,P/UP,,11557.83
KBL NBO F20 - ATHIRIVER P/up Spirit,NBO,Nairobi,ATHIRIVER,P/UP,,10857.83
KBL NBO F20 - Baba Dogo 14T KEG,NBO,Nairobi,BABA DOGO,14T,,14174.12
KBL NBO F20 - Baba Dogo 30T KEG,NBO,Nairobi,BABA DOGO,30T,,20918.44
KBL NBO F20 - Baba Dogo 7.5T KEG,NBO,Nairobi,BABA DOGO,7.5T,,11753.36
KBL NBO F20 - Buruburu 14T BEER,NBO,Nairobi,BURUBURU,14T,,15742.53
KBL NBO F20 - BURUBURU 14T Keg,NBO,Nairobi,BURUBURU,14T,,14174.12
KBL NBO F20 - BURUBURU 14T Spirit,NBO,Nairobi,BURUBURU,14T,,13385.35
KBL NBO F20 - Buruburu 30T BEER,NBO,Nairobi,BURUBURU,30T,,18700.84
KBL NBO F20 - BURUBURU 30T Keg,NBO,Nairobi,BURUBURU,30T,,18700.84
KBL NBO F20 - BURUBURU 30T Spirit,NBO,Nairobi,BURUBURU,30T,,18700.84
KBL NBO F20 - Buruburu 7.5T BEER,NBO,Nairobi,BURUBURU,7.5T,,11725.33
KBL NBO F20 - BURUBURU 7.5T Keg,NBO,Nairobi,BURUBURU,7.5T,,11753.36
KBL NBO F20 - BURUBURU 7.5T Spirit,NBO,Nairobi,BURUBURU,7.5T,,10983.28
KBL NBO F20 - BURUBURU P/up Beer,NBO,Nairobi,BURUBURU,P/UP,,10528.43
KBL NBO F20 - BURUBURU P/up Spirit,NBO,Nairobi,BURUBURU,P/UP,,9828.43
KBL NBO F20 - DAGORETTI CORNER 14T Beer,NBO,Nairobi,DAGORETTI CORNER,14T,,14111.04
KBL NBO F20 - DAGORETTI CORNER 14T Spirit,NBO,Nairobi,DAGORETTI CORNER,14T,,13385.35
KBL NBO F20 - DAGORETTI CORNER 30T BEER,NBO,Nairobi,DAGORETTI CORNER,30T,,19022.91
KBL NBO F20 - DAGORETTI CORNER 30T Spirit,NBO,Nairobi,DAGORETTI CORNER,30T,,19022.91
KBL NBO F20 - DAGORETTI CORNER 7.5T Beer,NBO,Nairobi,DAGORETTI CORNER,7.5T,,11725.33
KBL NBO F20 - DAGORETTI CORNER 7.5T Spirit,NBO,Nairobi,DAGORETTI CORNER,7.5T,,10983.28
KBL NBO F20 - DAGORETTI CORNER P/up Beer,NBO,Nairobi,DAGORETTI CORNER,P/UP,,10528.43
KBL NBO F20 - DAGORETTI CORNER P/up Spirit,NBO,Nairobi,DAGORETTI CORNER,P/UP,,9828.43
KBL NBO F20 - DANDORA 14T Beer,NBO,Nairobi,DANDORA,14T,,13933.18
KBL NBO F20 - Dandora 14T KEG,NBO,Nairobi,DANDORA,14T,,13933.18
KBL NBO F20 - Dandora 14T SPIRIT,NBO,Nairobi,DANDORA,14T,,13933.18
KBL NBO F20 - DANDORA 30T Beer,NBO,Nairobi,DANDORA,30T,,21051.59
KBL NBO F20 - Dandora 30T KEG,NBO,Nairobi,DANDORA,30T,,21051.59
KBL NBO F20 - Dandora 30T SPIRIT,NBO,Nairobi,DANDORA,30T,,20065.43
KBL NBO F20 - DANDORA 7.5T Beer,NBO,Nairobi,DANDORA,7.5T,,16412.39
KBL NBO F20 - Dandora 7.5T KEG,NBO,Nairobi,DANDORA,7.5T,,16412.39
KBL NBO F20 - Dandora 7.5T SPIRIT,NBO,Nairobi,DANDORA,7.5T,,16412.39
KBL NBO F20 - DANDORA P/up Beer,NBO,Nairobi,DANDORA,P/UP,,10528.43
KBL NBO F20 - DANDORA P/up Spirit,NBO,Nairobi,DANDORA,P/UP,,9828.43
KBL NBO F20 - EMBAKASI 14T Beer,NBO,Nairobi,EMBAKASI,14T,,14111.04
KBL NBO F20 - EMBAKASI 14T Spirit,NBO,Nairobi,EMBAKASI,14T,,13385.35
KBL NBO F20 - EMBAKASI 30T Beer,NBO,Nairobi,EMBAKASI,30T,,20814.48
KBL NBO F20 - EMBAKASI 30T Spirit,NBO,Nairobi,EMBAKASI,30T,,20351.59
KBL NBO F20 - EMBAKASI 7.5T Beer,NBO,Nairobi,EMBAKASI,7.5T,,11725.33
KBL NBO F20 - EMBAKASI 7.5T Spirit,NBO,Nairobi,EMBAKASI,7.5T,,10983.28
KBL NBO F20 - EMBAKASI P/up Beer,NBO,Nairobi,EMBAKASI,P/UP,,10528.43
KBL NBO F20 - EMBAKASI P/up Spirit,NBO,Nairobi,EMBAKASI,P/UP,,9869.31
KBL NBO F20 - GIKOMBA 14T BEER,NBO,Nairobi,GIKOMBA,14T,,15851.56
KBL NBO F20 - GIKOMBA 14T Spirit,NBO,Nairobi,GIKOMBA,14T,,15851.56
KBL NBO F20 - GIKOMBA 30T BEER,NBO,Nairobi,GIKOMBA,30T,,20814.48
KBL NBO F20 - GIKOMBA 30T Spirit,NBO,Nairobi,GIKOMBA,30T,,20065.43
KBL NBO F20 - GIKOMBA 7.5T BEER,NBO,Nairobi,GIKOMBA,7.5T,,9235.62
KBL NBO F20 - GIKOMBA 7.5T Spirit,NBO,Nairobi,GIKOMBA,7.5T,,9235.62
KBL NBO F20 - GIKOMBA P/up Beer,NBO,Nairobi,GIKOMBA,P/UP,,10528.43
KBL NBO F20 - GIKOMBA P/up Spirit,NBO,Nairobi,GIKOMBA,P/UP,,9828.43
KBL NBO F20 - GITHUNGURI 14T KEG,NBO,Nairobi,GITHUNGURI,14T,,19186.64
KBL NBO F20 - GITHUNGURI 30T KEG,NBO,Nairobi,GITHUNGURI,30T,,26867.1
KBL NBO F20 - GITHUNGURI 7.5T KEG,NBO,Nairobi,GITHUNGURI,7.5T,,20587.9
KBL NBO F20 - Githurai 14T KEG,NBO,Nairobi,GITHURAI,14T,,13538.63
KBL NBO F20 - Githurai 14T SPIRIT,NBO,Nairobi,GITHURAI,14T,,13538.63
KBL NBO F20 - GITHURAI 30T Keg,NBO,Nairobi,GITHURAI,30T,,20918.44
KBL NBO F20 - Githurai 30T SPIRIT,NBO,Nairobi,GITHURAI,30T,,20065.43
KBL NBO F20 - Githurai 7.5T KEG,NBO,Nairobi,GITHURAI,7.5T,,14505.31
KBL NBO F20 - Githurai 7.5T SPIRIT,NBO,Nairobi,GITHURAI,7.5T,,14505.31
KBL NBO F20 - GITHURAI P/up Spirit,NBO,Nairobi,GITHURAI,P/UP,,9828.43
KBL NBO F20 - HURLIGHUM DEF 14T Beer,NBO,Nairobi,HURLIGHUM DEF,14T,,14111.04
KBL NBO F20 - HURLIGHUM DEF 14T Spirit,NBO,Nairobi,HURLIGHUM DEF,14T,,13385.35
KBL NBO F20 - HURLIGHUM DEF 30T Beer,NBO,Nairobi,HURLIGHUM DEF,30T,,20814.48
KBL NBO F20 - HURLIGHUM DEF 30T Spirit,NBO,Nairobi,HURLIGHUM DEF,30T,,20351.59
KBL NBO F20 - HURLIGHUM DEF 7.5T Beer,NBO,Nairobi,HURLIGHUM DEF,7.5T,,11725.33
KBL NBO F20 - HURLIGHUM DEF 7.5T Spirit,NBO,Nairobi,HURLIGHUM DEF,7.5T,,10983.28
KBL NBO F20 - HURLIGHUM DEF P/up Beer,NBO,Nairobi,HURLIGHUM DEF,P/UP,,10528.43
KBL NBO F20 - HURLIGHUM DEF P/up Spirit,NBO,Nairobi,HURLIGHUM DEF,P/UP,,9869.31
KBL NBO F20 - HURLIGHUM P/up Beer,NBO,Nairobi,HURLIGHUM,P/UP,,10528.43
KBL NBO F20 - HURUMA 14T Beer,NBO,Nairobi,HURUMA,14T,,14111.04
KBL NBO F20 - HURUMA 14T Spirit,NBO,Nairobi,HURUMA,14T,,13385.35
KBL NBO F20 - Huruma 30T BEER,NBO,Nairobi,HURUMA,30T,,16750.97
KBL NBO F20 - HURUMA 30T Spirit,NBO,Nairobi,HURUMA,30T,,16750.97
KBL NBO F20 - HURUMA 7.5T Beer,NBO,Nairobi,HURUMA,7.5T,,11725.33
KBL NBO F20 - HURUMA 7.5T Spirit,NBO,Nairobi,HURUMA,7.5T,,10983.28
KBL NBO F20 - HURUMA P/up Beer,NBO,Nairobi,HURUMA,P/UP,,10528.43
KBL NBO F20 - HURUMA P/up Spirit,NBO,Nairobi,HURUMA,P/UP,,9828.43
KBL NBO F20 - INDUSTRIAL AREA 14T BEER,NBO,Nairobi,INDUSTRIAL AREA,14T,,14111.04
KBL NBO F20 - INDUSTRIAL AREA 14T Spirit,NBO,Nairobi,NRB INDUST AREA,14T,,13385.35
KBL NBO F20 - INDUSTRIAL AREA 30T BEER,NBO,Nairobi,INDUSTRIAL AREA,30T,,19612.13
KBL NBO F20 - INDUSTRIAL AREA 30T Spirit,NBO,Nairobi,NRB INDUST AREA,30T,,20065.43
KBL NBO F20 - INDUSTRIAL AREA 7.5T BEER,NBO,Nairobi,INDUSTRIAL AREA,7.5T,,11725.33
KBL NBO F20 - INDUSTRIAL AREA 7.5T Spirit,NBO,Nairobi,NRB INDUST AREA,7.5T,,10983.28
KBL NBO F20 - INDUSTRIAL AREA P/up Beer,NBO,Nairobi,NRB INDUST AREA,P/UP,,10528.43
KBL NBO F20 - INDUSTRIAL AREA P/up Spirit,NBO,Nairobi,NRB INDUST AREA,P/UP,,9828.43
KBL NBO F20 - KAHAWA 14T Spirit,NBO,Nairobi,KAHAWA,14T,,13385.35
KBL NBO F20 - KAHAWA 30T Spirit,NBO,Nairobi,KAHAWA,30T,,20351.59
KBL NBO F20 - KAHAWA 7.5T Spirit,NBO,Nairobi,KAHAWA,7.5T,,10983.28
KBL NBO F20 - KAHAWA P/up Spirit,NBO,Nairobi,KAHAWA,P/UP,,9869.31
KBL NBO F20 - KAREN 14T Spirit,NBO,Nairobi,KAREN,14T,,13664.33
KBL NBO F20 - KAREN 30T Spirit,NBO,Nairobi,KAREN,30T,,20814.65
KBL NBO F20 - KAREN 7.5T Spirit,NBO,Nairobi,KAREN,7.5T,,11188.9
KBL NBO F20 - KAREN P/up Spirit,NBO,Nairobi,KAREN,P/UP,,10055.18
KBL NBO F20 - KAWANGWARE 14T Keg,NBO,Nairobi,KAWANGWARE,14T,,13538.63
KBL NBO F20 - KAWANGWARE 14T Spirit,NBO,Nairobi,KAWANGWARE,14T,,13538.63
KBL NBO F20 - KAWANGWARE 30T Keg,NBO,Nairobi,KAWANGWARE,30T,,20918.44
KBL NBO F20 - KAWANGWARE 30T Spirit,NBO,Nairobi,KAWANGWARE,30T,,20065.43
KBL NBO F20 - KAWANGWARE 7.5T Keg,NBO,Nairobi,KAWANGWARE,7.5T,,11753.36
KBL NBO F20 - KAWANGWARE 7.5T Spirit,NBO,Nairobi,KAWANGWARE,7.5T,,10983.28
KBL NBO F20 - KAWANGWARE P/up Spirit,NBO,Nairobi,KAWANGWARE,P/UP,,9828.43
KBL NBO F20 - Kiambu 14T BEER,NBO,Nairobi,KIAMBU,14T,,14243.03
KBL NBO F20 - Kiambu 14T KEG,NBO,Nairobi,KIAMBU,14T,,14942.56
KBL NBO F20 - KIAMBU 14T SPIRIT,NBO,Nairobi,KIAMBU,14T,,13385.35
KBL NBO F20 - Kiambu 30T BEER,NBO,Nairobi,KIAMBU,30T,,21051.59
KBL NBO F20 - Kiambu 30T KEG,NBO,Nairobi,KIAMBU,30T,,20918.44
KBL NBO F20 - KIAMBU 30T SPIRIT,NBO,Nairobi,KIAMBU,30T,,20065.43
KBL NBO F20 - Kiambu 7.5T BEER,NBO,Nairobi,KIAMBU,7.5T,,9235.62
KBL NBO F20 - Kiambu 7.5T KEG,NBO,Nairobi,KIAMBU,7.5T,,9235.62
KBL NBO F20 - KIAMBU 7.5T SPIRIT,NBO,Nairobi,KIAMBU,7.5T,,9235.62
KBL NBO F20 - KIAMBU P/up Beer,NBO,Nairobi,KIAMBU,P/UP,,10528.43
KBL NBO F20 - KIAMBU P/up Spirit,NBO,Nairobi,KIAMBU,P/UP,,9828.43
KBL NBO F20 - KIBERA 14T BEER,NBO,Nairobi,KIBERA,14T,,13538.63
KBL NBO F20 - Kibera 14T KEG,NBO,Nairobi,KIBERA,14T,,13538.63
KBL NBO F20 - Kibera 14T SPIRIT,NBO,Nairobi,KIBERA,14T,,13538.63
KBL NBO F20 - KIBERA 30T BEER,NBO,Nairobi,KIBERA,30T,,21051.59
KBL NBO F20 - Kibera 30T KEG,NBO,Nairobi,KIBERA,30T,,20918.44
KBL NBO F20 - Kibera 30T SPIRIT,NBO,Nairobi,KIBERA,30T,,20065.43
KBL NBO F20 - KIBERA 7.5T BEER,NBO,Nairobi,KIBERA,7.5T,,10411.62
KBL NBO F20 - Kibera 7.5T KEG,NBO,Nairobi,KIBERA,7.5T,,10411.62
KBL NBO F20 - Kibera 7.5T SPIRIT,NBO,Nairobi,KIBERA,7.5T,,10411.62
KBL NBO F20 - KIBERA P/up Beer,NBO,Nairobi,KIBERA,P/UP,,10528.43
KBL NBO F20 - KIBERA P/up Spirit,NBO,Nairobi,KIBERA,P/UP,,9828.43
KBL NBO F20 - KIKUYU 14T SPIRIT,NBO,Nairobi,KIKUYU,14T,,13385.35
KBL NBO F20 - KIKUYU 30T SPIRIT,NBO,Nairobi,KIKUYU,30T,,20351.59
KBL NBO F20 - KIKUYU 7.5T SPIRIT,NBO,Nairobi,KIKUYU,7.5T,,10983.28
KBL NBO F20 - KIKUYU P/up Spirit,NBO,Nairobi,KIKUYU,P/UP,,9869.31
KBL NBO F20 - KISUMU DEPOT 30T BEER,NBO,Nairobi,KISUMU DEPOT,30T,,107198.03
KBL NBO F20 - KITENGELA 14T SPIRIT,NBO,Nairobi,KITENGELA,14T,,39865.26
KBL NBO F20 - KITENGELA 30T SPIRIT,NBO,Nairobi,KITENGELA,30T,,23627.5
KBL NBO F20 - KITENGELA 7.5T SPIRIT,NBO,Nairobi,KITENGELA,7.5T,,16421.74
KBL NBO F20 - KITENGELA P/up Spirit,NBO,Nairobi,KITENGELA,P/UP,,11258.15
KBL NBO F20 - LANGATA 14T Spirit,NBO,Nairobi,LANGATA,14T,,13857.48
KBL NBO F20 - LANGATA 30T Spirit,NBO,Nairobi,LANGATA,30T,,21135.25
KBL NBO F20 - LANGATA 7.5T Spirit,NBO,Nairobi,LANGATA,7.5T,,11331.24
KBL NBO F20 - LANGATA P/up Spirit,NBO,Nairobi,LANGATA,P/UP,,10183.85
KBL NBO F20 - LIMURU 14T BEER,NBO,Nairobi,LIMURU,14T,,15704.85
KBL NBO F20 - LIMURU 14T Keg,NBO,Nairobi,LIMURU,14T,,15704.85
KBL NBO F20 - LIMURU 14T SPIRIT,NBO,Nairobi,LIMURU,14T,,15704.85
KBL NBO F20 - LIMURU 30T Beer,NBO,Nairobi,LIMURU,30T,,25531.99
KBL NBO F20 - LIMURU 30T Keg,NBO,Nairobi,LIMURU,30T,,24587.37
KBL NBO F20 - LIMURU 30T SPIRIT,NBO,Nairobi,LIMURU,30T,,23734.36
KBL NBO F20 - LIMURU 7.5T BEER,NBO,Nairobi,LIMURU,7.5T,,12008.15
KBL NBO F20 - LIMURU 7.5T Keg,NBO,Nairobi,LIMURU,7.5T,,12008.15
KBL NBO F20 - LIMURU 7.5T SPIRIT,NBO,Nairobi,LIMURU,7.5T,,12008.15
KBL NBO F20 - LIMURU P/up Beer,NBO,Nairobi,LIMURU,P/UP,,12001.05
KBL NBO F20 - LIMURU P/up Spirit,NBO,Nairobi,LIMURU,P/UP,,11301.05
KBL NBO F20 - MAB 14T Spirit,NBO,Nairobi,MAB,14T,,13385.35
KBL NBO F20 - MAB 30T Spirit,NBO,Nairobi,MAB,30T,,20065.43
KBL NBO F20 - MAB 7.5T Spirit,NBO,Nairobi,MAB,7.5T,,10983.28
KBL NBO F20 - MAB P/up Spirit,NBO,Nairobi,MAB,P/UP,,9828.43
KBL NBO F20 - MATHARE 14T Beer,NBO,Nairobi,MATHARE,14T,,14243.03
KBL NBO F20 - MATHARE 14T Spirit,NBO,Nairobi,MATHARE,14T,,13385.35
KBL NBO F20 - MATHARE 30T Beer,NBO,Nairobi,MATHARE,30T,,21051.59
KBL NBO F20 - MATHARE 30T Spirit,NBO,Nairobi,MATHARE,30T,,20065.43
KBL NBO F20 - MATHARE 7.5T Beer,NBO,Nairobi,MATHARE,7.5T,,10411.62
KBL NBO F20 - MATHARE 7.5T Spirit,NBO,Nairobi,MATHARE,7.5T,,10411.62
KBL NBO F20 - MATHARE P/up Beer,NBO,Nairobi,MATHARE,P/UP,,10528.43
KBL NBO F20 - MATHARE P/up Spirit,NBO,Nairobi,MATHARE,P/UP,,9828.43
KBL NBO F20 - MLOLONGO 14T KEG,NBO,Nairobi,MLOLONGO,14T,,16862.65
KBL NBO F20 - MLOLONGO 30T Keg,NBO,Nairobi,MLOLONGO,30T,,23483.13
KBL NBO F20 - MLOLONGO 7.5T Keg,NBO,Nairobi,MLOLONGO,7.5T,,12892.16
KBL NBO F20 - MWIKI 14T BEER,NBO,Nairobi,MWIKI,14T,,14243.03
KBL NBO F20 - Mwiki 14T KEG,NBO,Nairobi,MWIKI,14T,,19925.97
KBL NBO F20 - Mwiki 14T SPIRIT,NBO,Nairobi,MWIKI,14T,,13385.35
KBL NBO F20 - MWIKI 30T BEER,NBO,Nairobi,MWIKI,30T,,21051.59
KBL NBO F20 - Mwiki 30T KEG,NBO,Nairobi,MWIKI,30T,,20918.44
KBL NBO F20 - Mwiki 30T SPIRIT,NBO,Nairobi,MWIKI,30T,,20065.43
KBL NBO F20 - MWIKI 7.5T BEER,NBO,Nairobi,MWIKI,7.5T,,9235.62
KBL NBO F20 - Mwiki 7.5T KEG,NBO,Nairobi,MWIKI,7.5T,,9235.62
KBL NBO F20 - Mwiki 7.5T SPIRIT,NBO,Nairobi,MWIKI,7.5T,,9235.62
KBL NBO F20 - MWIKI P/up Beer,NBO,Nairobi,MWIKI,P/UP,,10528.43
KBL NBO F20 - MWIKI P/up Spirit,NBO,Nairobi,MWIKI,P/UP,,9828.43
KBL NBO F20 - NAIROBI 14T BEER,NBO,Nairobi,NAIROBI,14T,,12765.64
KBL NBO F20 - nairobi 14T SPIRIT,NBO,Nairobi,NAIROBI,14T,,12765.64
KBL NBO F20 - NAIROBI 30T BEER,NBO,Nairobi,NAIROBI,30T,,20814.48
KBL NBO F20 - nairobi 30T SPIRIT,NBO,Nairobi,NAIROBI,30T,,20065.43
KBL NBO F20 - NAIROBI 7.5T BEER,NBO,Nairobi,NAIROBI,7.5T,,10158.83
KBL NBO F20 - nairobi 7.5T SPIRIT,NBO,Nairobi,NAIROBI,7.5T,,10158.83
KBL NBO F20 - NAIROBI P/up Beer,NBO,Nairobi,NAIROBI,P/UP,,10528.43
KBL NBO F20 - NAIROBI P/up Spirit,NBO,Nairobi,NAIROBI,P/UP,,9869.31
KBL NBO F20 - NAIROBI THT 14T Beer,NBO,Nairobi,NAIROBI THT,14T,,14243.03
KBL NBO F20 - NAIROBI THT 14T Spirit,NBO,Nairobi,NAIROBI THT,14T,,13543.03
