LANE DESCRIPTION,SOURCE,REGION,DESTINATION,TRUCK SIZE,UNUSED,RATE (KES)
KBL NBO F20 - BOMET P/up Spirit,NBO,Rift,BOMET,P/UP,,40926.79
KBL NBO F20 - BUNGOMA 14T BEER,NBO,Rift,BUNGOMA,14T,,104372.05
KBL NBO F20 - BUNGOMA 30T BEER,NBO,Rift,BUNGOMA,30T,,115190.0
KBL NBO F20 - BUNGOMA 7.5T BEER,NBO,Rift,BUNGOMA,7.5T,,79483.51
KBL NBO F20 - BUNGOMA P/up Beer,NBO,Rift,BUNGOMA,P/UP,,71857.94
KBL NBO F20 - ELDORET 14T BEER,NBO,Rift,ELDORET,14T,,82990.52
KBL NBO F20 - ELDORET 14T KEG,NBO,Rift,ELDORET,14T,,83053.59
KBL NBO F20 - ELDORET 14T SPIRIT,NBO,Rift,ELDORET,14T,,82264.82
KBL NBO F20 - ELDORET 30T BEER,NBO,Rift,ELDORET,30T,,132924.14
KBL NBO F20 - ELDORET 30T KEG,NBO,Rift,ELDORET,30T,,133028.09
KBL NBO F20 - ELDORET 30T SPIRIT,NBO,Rift,ELDORET,30T,,132175.08
KBL NBO F20 - ELDORET 7.5T BEER,NBO,Rift,ELDORET,7.5T,,63507.47
KBL NBO F20 - ELDORET 7.5T KEG,NBO,Rift,ELDORET,7.5T,,63535.5
KBL NBO F20 - ELDORET 7.5T SPIRIT,NBO,Rift,ELDORET,7.5T,,62765.42
KBL NBO F20 - ELDORET P/up Beer,NBO,Rift,ELDORET,P/UP,,57424.68
KBL NBO F20 - ELDORET P/up Spirit,NBO,Rift,ELDORET,P/UP,,56724.68
KBL NBO F20 - GILGIL 14T BEER,NBO,Rift,GILGIL,14T,,37130.55
KBL NBO F20 - GILGIL 14T SPIRIT,NBO,Rift,GILGIL,14T,,36404.86
KBL NBO F20 - GILGIL 30T BEER,NBO,Rift,GILGIL,30T,,58277.52
KBL NBO F20 - GILGIL 30T SPIRIT,NBO,Rift,GILGIL,30T,,57814.62
KBL NBO F20 - GILGIL 7.5T BEER,NBO,Rift,GILGIL,7.5T,,28988.26
KBL NBO F20 - GILGIL 7.5T SPIRIT,NBO,Rift,GILGIL,7.5T,,28246.21
KBL NBO F20 - GILGIL P/up Beer,NBO,Rift,GILGIL,P/UP,,26241.53
KBL NBO F20 - GILGIL P/up Spirit,NBO,Rift,GILGIL,P/UP,,25582.41
KBL NBO F20 - ITEN 14T BEER,NBO,Rift,ITEN,14T,,89993.59
KBL NBO F20 - ITEN 14T SPIRIT,NBO,Rift,ITEN,14T,,89267.9
KBL NBO F20 - ITEN 30T BEER,NBO,Rift,ITEN,30T,,144175.3
KBL NBO F20 - ITEN 30T SPIRIT,NBO,Rift,ITEN,30T,,143712.41
KBL NBO F20 - ITEN 7.5T BEER,NBO,Rift,ITEN,7.5T,,68817.44
KBL NBO F20 - ITEN 7.5T SPIRIT,NBO,Rift,ITEN,7.5T,,68075.39
KBL NBO F20 - ITEN P/up Beer,NBO,Rift,ITEN,P/UP,,62278.8
KBL NBO F20 - ITEN P/up Spirit,NBO,Rift,ITEN,P/UP,,61619.68
KBL NBO F20 - KABARNET 14T BEER,NBO,Rift,KABARNET,14T,,81725.2
KBL NBO F20 - KABARNET 14T SPIRIT,NBO,Rift,KABARNET,14T,,81725.2
KBL NBO F20 - KABARNET 30T BEER,NBO,Rift,KABARNET,30T,,125800.0
KBL NBO F20 - KABARNET 30T SPIRIT,NBO,Rift,KABARNET,30T,,125050.94
KBL NBO F20 - KABARNET 7.5T BEER,NBO,Rift,KABARNET,7.5T,,58212.8
KBL NBO F20 - KABARNET 7.5T SPIRIT,NBO,Rift,KABARNET,7.5T,,58212.8
KBL NBO F20 - KABARNET P/up Beer,NBO,Rift,KABARNET,P/UP,,54565.23
KBL NBO F20 - KABARNET P/up Spirit,NBO,Rift,KABARNET,P/UP,,53865.23
KBL NBO F20 - Kapsabet 14T BEER,NBO,Rift,KAPSABET,14T,,82693.29
KBL NBO F20 - Kapsabet 14T KEG,NBO,Rift,KAPSABET,14T,,105212.94
KBL NBO F20 - Kapsabet 14T SPIRIT,NBO,Rift,KAPSABET,14T,,81835.61
KBL NBO F20 - Kapsabet 30T BEER,NBO,Rift,KAPSABET,30T,,132448.83
KBL NBO F20 - Kapsabet 30T KEG,NBO,Rift,KAPSABET,30T,,132315.67
KBL NBO F20 - Kapsabet 30T SPIRIT,NBO,Rift,KAPSABET,30T,,131462.67
KBL NBO F20 - Kapsabet 7.5T BEER,NBO,Rift,KAPSABET,7.5T,,63260.05
